CODIGO;NOMBRE;PADRE;TITULO;LATITUD;LONGITUD
01   ;01 - SAN BARTOLO;99999;OTRAS;;
011  ;011 - VEHICULOS USADOS;99999;OTRAS;;
012  ;012 - SAN BARTOLO - 3 TORRES;99999;OTRAS;;
02   ;02 - MARITIMA DE ACAJUTLA;02   ;ACAJUTLA;;
03   ;03 - AEREA DE COMALAPA;03   ;AEROPUERTO MOARYG;;
04   ;04 - TERRESTRE LAS CHINAMAS;04   ;LAS CHINAMAS;;
05   ;05 - TERRESTRE LA HACHADURA;05   ;LA HACHADURA;;
06   ;06 - TERRESTRE SANTA ANA;99999;OTRAS;;
07   ;07 - TERRESTRE SAN CRISTOBAL;07   ;SAN CRISTOBAL;;
08   ;08 - TERRESTRE ANGUIATU;08   ;ANGUIATU;;
09   ;09 - TERRESTRE EL AMATILLO;09   ;EL AMATILLO;;
10   ;10 - MARITIMA LA UNION;99999;OTRAS;;
11   ;11 - TERRESTRE EL POY;11   ;EL POY;;
12   ;12 - TERRESTRE METALIO;99999;OTRAS;;
13   ;13 - TERRESTRE SAN JERONIMO;99999;OTRAS;;
14   ;14 - TERRESTRE EL COCO;99999;OTRAS;;
15   ;15 - FARDOS POSTALES;99999;OTRAS;;
16   ;16 - Z.F. SAN MARCOS;99999;OTRAS;;
17   ;17 - Z.F. EL PEDREGAL;99999;OTRAS;;
18   ;18 - Z.F. SAN BARTOLO;99999;OTRAS;;
19   ;19 - Z.F. EL PROGRESO;99999;OTRAS;;
20   ;20 - Z.F. EXPORTSALVA;99999;OTRAS;;
21   ;21 - Z.F. AMERICAN PARK;99999;OTRAS;;
22   ;22 - Z.F. LIDO FREE ZONE;99999;OTRAS;;
23   ;23 - Z.F. INTERNACIONAL;99999;OTRAS;;
24   ;24 - DELG. Z.FCA DIEZ;99999;OTRAS;;
25   ;25 - DELG. Z.FCA SANTA LUCIA;99999;OTRAS;;
26   ;26 - DELG. Z.FCA. MIRAMAR;99999;OTRAS;;
27   ;27 - DELG. ZFCA. STO. TOMAS;99999;OTRAS;;
28   ;28 - DELG. ZFCA. SANTA TECLA;99999;OTRAS;;
29   ;29 - DELG. ZFCA. SANTA ANA;99999;OTRAS;;
30   ;30 - DELG. ZFCA. CONCORDIA INDUST. PARK;99999;OTRAS;;
31   ;31 - DELEGACION ADUANA AEREA ILOPANGO;99999;OTRAS;;
32   ;32 - Z.F. PIPIL, S.A. DE C.V.;99999;OTRAS;;
33   ;33 - DELEG. ADUANA PUERTO BARILLAS;99999;OTRAS;;
34   ;34 - DELG. ZFCA. CALVO CONSERVAS;99999;OTRAS;;
35   ;35 - DELG. ADUANA FERIA INTERNACIONAL;99999;OTRAS;;
50   ;50 - SV(HN)AD. PUERTO CORTES;99999;OTRAS;;
51   ;51 - SV(GT)AD. PUERTO CORTEZ;99999;OTRAS;;
52   ;52 - SV(GT) D.AD.PRTO.STO. TOMAS DE CASTIL;99999;OTRAS;;
53   ;53 - SV(GT) DELEG. ADUANA PUERTO BARRIOS;99999;OTRAS;;
54   ;54 - SV(GT-MX) DELEG. ADUANA TECUM UMAN;99999;OTRAS;;
55   ;55 - SV(HN-NI) Deleg. Aduana Guasaule;99999;OTRAS;;
56   ;56 - SV(NI-CR) Deleg. Terr. Penas Blanca;99999;OTRAS;;
57   ;57 - SV(GT-MX) Deleg.Aduana el Carmen;99999;OTRAS;;
58   ;58 - SV(GT-MX) Deleg. Aduana la Mesilla;99999;OTRAS;;
59   ;59 - SV(GT-BL) Delg.Melchor de Mencons;99999;OTRAS;;
60   ;60 - SV(GT-HN) Deleg. Aduana Entre Rios;99999;OTRAS;;
61   ;61 - SV(GT_HN) Deleg. Aduana El Florido;99999;OTRAS;;
62   ;62 - SV(GT-HN) Deleg.Adu.Aguas Calientes;99999;OTRAS;;
70   ;70 - DELG.AD. ALM. SALVADORENA,(ALMASAL);99999;OTRAS;;
71   ;71 - DELG.AD. ALM. DESARROLLO,(ALDESA);99999;OTRAS;;
72   ;72 - DELG.AD.ALM.GRAL.DEP.OCCIDE(AGDOSA);99999;OTRAS;;
73   ;73 - DELG.AD.BODEGA GRAL.DEPOSI(BODESA);99999;OTRAS;;
74   ;74 - DELG.ALMASAL BOULEARD DEL EJERCITO;99999;OTRAS;;
75   ;75 - DELG. AD. ALMACENADORA ROCA;99999;OTRAS;;
76   ;76 - DELEGACION DHL;99999;OTRAS;;
77   ;77 - DELEG. ADUANA TRANSAUTO, S.A. de CV;99999;OTRAS;;
78   ;78 - DELEG. AD. ALMACENADORA INTERNACIONAL;99999;OTRAS;;
808  ;808 - CONTROL DE INGRESO TEMPORAL DE VEHI;99999;OTRAS;;
901  ;901 - GUA. VALLE NUEVO;99999;OTRAS;;
902  ;902 - GUA. PEDRO ALVARADO;99999;OTRAS;;
903  ;903 - GUA. SAN CRISTOBAL;99999;OTRAS;;
904  ;904 - GUA. LA HERMITA;99999;OTRAS;;
905  ;905 - HON. AMATILLO;99999;OTRAS;;
906  ;906 - HON. EL POY;99999;OTRAS;;
CUO01;CUO01 - Aduana SIDUNEA++;99999;OTRAS;;
36   ;36 - DELG.ADUANA EL PAPALON;99999;OTRAS;;
ALL  ;ALL - ADUANA DE ADMINISTRACION;99999;OTRAS;;
013  ;013 - CONTROL DE VENTAS LOCALES;99999;OTRAS;;
37   ;37 - Z.FCA. PARQUE INDUSTRIAL SAM-LI;99999;OTRAS;;
79   ;79 - BODEGA DE DEPOSITO (SERVILOGICA);99999;OTRAS;;
80   ;80 - ALMACENADORA NEJAPA,SA.DE C.V.;99999;OTRAS;;
38   ;38 - Z.FCA. SAN JOSE;99999;OTRAS;;
39   ;39 - Z.F. LAS MERCEDES;99999;OTRAS;;
81   ;81 - ALMACENADORA ALMACONSA S.A. DE C.V.;99999;OTRAS;;
82   ;82 - AGDOSA SOYAPANGO;99999;OTRAS;;
83   ;83 - ALM.GRAL.DEPOSITO OCCIDENTE (APOPA);99999;OTRAS;;
AD000;ADUANA NO EXISTE;99999;OTRAS;;
99   ;99 - DONACIONES;99999;OTRAS;;
84   ;84 - GALVANIZADORA INDUSTRIAL SALV.;99999;OTRAS;;
99999;OTRAS;;OTRAS;;
